Date UTC;T° (C);P (hPa);HR (%);P.rosée (°C);Visi (km);Vt. moy. (km/h);Vt. raf. (km/h);Vt. dir (°);RR 3h (mm);Neige (cm);Nebul. (octats)
05/12/15 15h00;12.6;1022.3;82;9.6;16;33.336;59.264;230;0;;7
05/12/15 18h00;11.7;1022.1;72;6.8;30;31.484;55.56;220;0;;7
05/12/15 21h00;12.3;1021.1;74;7.8;30;31.484;50.004;200;0;;8
06/12/15 00h00;12.7;1019.9;84;10.1;15;33.336;57.412;210;0;;8
06/12/15 03h00;12.5;1019;90;10.9;7;42.596;61.116;200;0;;8
06/12/15 06h00;12.9;1018.8;92;11.6;10;37.04;62.968;220;1;;8
06/12/15 09h00;12.9;1020.6;85;10.4;15;31.484;55.56;220;0;;6
06/12/15 12h00;13.5;1020.7;85;11;15;31.484;53.708;210;0;;7
06/12/15 15h00;13.6;1020.9;85;11.1;15;24.076;40.744;200;0;;7
06/12/15 18h00;13.1;1022.6;90;11.5;10;20.372;33.336;210;0;;7
06/12/15 21h00;12.9;1023;86;10.6;19;18.52;33.336;190;0;0;7
07/12/15 00h00;13.5;1023.4;94;12.6;5;29.632;44.448;200;;0;8
07/12/15 03h00;12.9;1023.4;93;11.8;7;22.224;33.336;180;;;8
07/12/15 06h00;11.8;1022.4;92;10.5;12;18.52;31.484;150;0;;2
07/12/15 09h00;11.3;1022.3;90;9.7;8;22.224;35.188;150;0;;6
07/12/15 12h00;13.8;1020.9;81;10.6;8;31.484;55.56;170;0;;5
07/12/15 15h00;13.6;1019.8;83;10.8;10;27.78;50.004;180;0;;7
07/12/15 18h00;13.1;1019.7;88;11.2;8;27.78;44.448;170;;;8
07/12/15 21h00;13.8;1019.8;88;11.8;10;33.336;50.004;190;1;;8
08/12/15 00h00;13.6;1019.8;91;12.2;10;31.484;53.708;200;1;;8
08/12/15 03h00;13.2;1020.8;92;11.9;9;27.78;50.004;210;1;;8
08/12/15 06h00;12.5;1021.3;86;10.2;15;24.076;51.856;220;;;8
08/12/15 09h00;11.7;1023.7;76;7.6;15;31.484;46.3;230;0;;8
08/12/15 12h00;12.7;1026.2;66;6.5;15;37.04;53.708;240;0;;6
08/12/15 15h00;10.9;1028.2;64;4.4;10;20.372;40.744;270;;;5
08/12/15 18h00;8.1;1031;74;3.7;20;12.964;18.52;250;0;;5
08/12/15 21h00;6.4;1033.6;84;3.9;20;11.112;12.964;240;0;;4
09/12/15 00h00;6.4;1035.5;79;3;20;11.112;14.816;240;0;;3
09/12/15 03h00;6.5;1036.2;83;3.8;20;9.26;14.816;260;0;;3
09/12/15 06h00;5.4;1036.7;92;4.2;20;7.408;11.112;190;0;;4
09/12/15 09h00;7.7;1037.7;88;5.8;20;9.26;14.816;190;0;;4
09/12/15 12h00;12.3;1037.1;68;6.6;19;27.78;40.744;200;0;0;7
09/12/15 15h00;11.6;1035.6;69;6.1;55;22.224;44.448;200;0;0;8
09/12/15 18h00;10.7;1035;73;6.1;20;20.372;31.484;190;0;;5
09/12/15 21h00;11.2;1034.1;66;5.1;55;18.52;35.188;210;;0;8
10/12/15 00h00;11.8;1033.3;70;6.5;50;16.668;29.632;220;0;0;8
10/12/15 03h00;11.8;1031.2;72;6.9;55;22.224;38.892;210;;0;8
10/12/15 06h00;11.3;1030;81;8.2;40;20.372;33.336;190;0;0;8
10/12/15 09h00;11.7;1029.4;78;8;40;29.632;42.596;190;0;0;8
10/12/15 12h00;11.6;1028.9;84;9;19;20.372;37.04;200;0;0;8
10/12/15 15h00;12.5;1027.5;71;7.4;45;27.78;40.744;230;0;0;
10/12/15 18h00;11.2;1027.7;83;8.4;50;20.372;35.188;220;0;0;
10/12/15 21h00;11.6;1027.7;85;9.2;19;25.928;40.744;220;0;;7
11/12/15 00h00;11.9;1027.3;86;9.6;18;27.78;44.448;230;0;;7
11/12/15 03h00;12;1026.9;88;10.1;15;27.78;44.448;230;0;;8
11/12/15 06h00;11.8;1026.8;89;10;12;27.78;46.3;230;1;;8
11/12/15 09h00;11.9;1027.9;90;10.3;15;25.928;44.448;240;0;;8
11/12/15 12h00;12.8;1027.8;81;9.6;19;25.928;46.3;240;;0;8
11/12/15 15h00;12.6;1026.9;85;10.1;15;29.632;40.744;240;0;;8
11/12/15 18h00;12.3;1026.9;91;10.9;14;22.224;33.336;240;;;8
11/12/15 21h00;12.3;1027;90;10.7;15;20.372;35.188;250;0;;8
12/12/15 00h00;12.2;1026.7;90;10.6;15;18.52;29.632;230;0;;8
12/12/15 03h00;12;1025.6;90;10.4;25;20.372;35.188;220;0;;7
12/12/15 06h00;10.9;1024.1;94;10;14;18.52;27.78;190;0;;7
12/12/15 09h00;11.8;1023.9;88;9.9;30;29.632;40.744;200;0;;7
12/12/15 12h00;13.2;1023.4;71;8.1;30;37.04;53.708;220;0;;6
12/12/15 15h00;12.7;1021.6;74;8.2;30;27.78;42.596;210;0;;6
12/12/15 18h00;10.5;1021;88;8.6;20;14.816;25.928;200;0;;3
12/12/15 21h00;8.9;1020.8;92;7.7;15;9.26;14.816;180;0;;0
13/12/15 00h00;8.2;1020.2;95;7.4;9;9.26;16.668;180;0;;2
13/12/15 03h00;8.4;1019.4;95;7.6;7;9.26;11.112;140;0;;6
13/12/15 06h00;7.9;1018.6;92;6.7;15;7.408;11.112;130;0;;7
13/12/15 09h00;9.5;1018.6;82;6.6;20;9.26;14.816;120;0;;7
13/12/15 12h00;11;1017.9;80;7.7;19;12.964;20.372;140;0;0;8
13/12/15 15h00;11.4;1016;80;8.1;20;12.964;24.076;140;0;;3
13/12/15 18h00;9.8;1015.9;91;8.4;9;14.816;20.372;150;0;0;7
13/12/15 21h00;9.3;1015;93;8.2;4.7;18.52;27.78;130;0;0;8
14/12/15 00h00;9.6;1013.8;92;8.4;7;22.224;38.892;150;0;;7
14/12/15 03h00;10.7;1012.1;90;9.1;8;24.076;37.04;150;0;;8
14/12/15 06h00;11.3;1010.4;86;9;16;22.224;42.596;150;;;8
14/12/15 09h00;11.1;1010.7;94;10.2;7;20.372;35.188;150;1;;7
14/12/15 12h00;12.5;1010.9;94;11.6;10;24.076;48.152;180;2;;8
14/12/15 15h00;13.7;1010.8;86;11.4;15;24.076;40.744;190;0;;8
14/12/15 18h00;12.7;1012;90;11.1;15;20.372;29.632;190;0;;7
14/12/15 21h00;11.3;1013.8;89;9.6;25;14.816;27.78;190;0;;2
15/12/15 00h00;11.8;1014.2;91;10.4;15;11.112;22.224;190;;;7
15/12/15 03h00;11.7;1013.8;97;11.2;3;9.26;22.224;170;2;;8
15/12/15 06h00;12.5;1013.5;96;11.9;10;12.964;31.484;190;0;;8
15/12/15 09h00;12.9;1012.9;97;12.4;5;20.372;35.188;160;8;;8
15/12/15 12h00;13.7;1013.5;95;12.9;5;29.632;70.376;200;17;;8
15/12/15 15h00;13.6;1013.6;91;12.2;8;29.632;64.82;200;2;;7
15/12/15 18h00;14.4;1014.8;88;12.4;6;35.188;59.264;200;0;;7
15/12/15 21h00;14.1;1016.3;89;12.3;6;38.892;57.412;210;0;;7
16/12/15 00h00;14.2;1019;85;11.7;5;33.336;57.412;220;;;8
16/12/15 03h00;13.7;1020.8;93;12.6;3.5;35.188;55.56;230;;;8
16/12/15 06h00;13.7;1021.7;91;12.3;6;27.78;50.004;230;;;8
16/12/15 09h00;13.7;1023.3;91;12.3;7;24.076;35.188;200;0;;8
16/12/15 12h00;14.1;1023.2;97;13.6;1.4;27.78;42.596;200;;;8
16/12/15 15h00;14.1;1022.2;84;11.4;12;27.78;46.3;190;0;;7
16/12/15 18h00;13.8;1022.3;80;10.4;14;25.928;42.596;180;1;;4
16/12/15 21h00;14.6;1021.8;66;8.3;18;27.78;42.596;190;0;;1
17/12/15 00h00;14.6;1020.7;67;8.5;17;25.928;38.892;180;0;;4
17/12/15 03h00;15.4;1018.4;65;8.8;20;31.484;48.152;180;0;;4
17/12/15 06h00;16.2;1017.3;62;8.9;30;29.632;42.596;190;0;;7
17/12/15 09h00;15.6;1017.3;66;9.3;15;35.188;53.708;210;0;;7
17/12/15 12h00;13.9;1017.1;90;12.3;7;27.78;42.596;210;2;;8
17/12/15 15h00;13.6;1017;90;12;8;24.076;46.3;250;;;8
17/12/15 18h00;12.6;1018.8;90;11;10;18.52;29.632;240;0;;7
17/12/15 21h00;11.9;1019.9;93;10.8;10;12.964;25.928;220;0;;7
18/12/15 00h00;12.4;1020.7;92;11.1;10;14.816;25.928;220;0;;7
18/12/15 03h00;12;1020.3;92;10.7;10;12.964;18.52;190;0;;7
18/12/15 06h00;12;1020.2;95;11.2;10;16.668;25.928;190;0;;8
18/12/15 09h00;12.4;1020.9;92;11.1;10;20.372;31.484;190;0;;7
18/12/15 12h00;13.5;1020.3;85;11;12;25.928;44.448;190;0;;7
18/12/15 15h00;13.4;1018.9;88;11.5;20;24.076;44.448;180;0;;7
18/12/15 18h00;14;1018.5;96;13.4;3;25.928;38.892;200;;;8
18/12/15 21h00;14.6;1017.7;95;13.8;4.5;31.484;48.152;200;0;;8
19/12/15 00h00;14.9;1016.8;94;13.9;10;37.04;57.412;200;;;8
19/12/15 03h00;15.3;1015.6;83;12.4;15;31.484;51.856;190;0;;8
19/12/15 06h00;14.1;1013.9;85;11.6;15;25.928;46.3;180;0;;7
19/12/15 09h00;14.7;1013.3;78;10.9;18;25.928;40.744;180;0;;7
19/12/15 12h00;16.3;1011.6;63;9.2;18;35.188;55.56;190;0;;7
19/12/15 15h00;15.6;1009.6;63;8.6;18;27.78;48.152;190;0;;7
19/12/15 18h00;16.2;1008.2;57;7.7;18;33.336;46.3;190;0;;7
19/12/15 21h00;17.3;1007.8;58;9;20;51.856;75.932;200;0;;7
20/12/15 00h00;14;1009.3;82;11;12;40.744;77.784;210;0;;8
20/12/15 03h00;13;1010.6;84;10.4;12;29.632;44.448;220;0;;8
20/12/15 06h00;12.2;1011.3;87;10.1;13;18.52;31.484;200;0;;8
20/12/15 09h00;12.2;1013.1;86;9.9;18;22.224;40.744;210;0;0;8
20/12/15 12h00;11.5;1014.4;80;8.2;16;31.484;48.152;210;0;;7
20/12/15 15h00;11.6;1014.8;76;7.5;15;29.632;46.3;240;1;;5
20/12/15 18h00;10.2;1016.5;78;6.5;15;24.076;38.892;200;0;;5
20/12/15 21h00;10.5;1017.9;76;6.4;25;25.928;44.448;230;;;5
21/12/15 00h00;9.5;1018.6;76;5.5;15;25.928;48.152;230;2;;4
21/12/15 03h00;9.9;1019.2;80;6.6;15;25.928;42.596;240;1;;5
21/12/15 06h00;10.8;1019.9;84;8.2;19;27.78;53.708;230;0;0;7
21/12/15 09h00;12.4;1020.6;79;8.9;14;38.892;62.968;210;0;;7
21/12/15 12h00;12.1;1020;94;11.2;4.5;44.448;68.524;210;6;;8
21/12/15 15h00;13;1020.1;96;12.4;2;38.892;66.672;230;5;;8
21/12/15 18h00;13.2;1020.7;97;12.7;2;31.484;50.004;220;4;;8
21/12/15 21h00;13.5;1021.4;98;13.2;2;40.744;59.264;220;4;;8
22/12/15 00h00;13.5;1021.1;97;13;2;37.04;64.82;210;1;;8
22/12/15 03h00;13.4;1020.6;95;12.6;9;38.892;75.932;220;2;;8
22/12/15 06h00;13;1019.9;96;12.4;4;33.336;59.264;220;5;;8
22/12/15 09h00;13.2;1019.7;94;12.3;6;37.04;62.968;210;0;;8
22/12/15 12h00;13.6;1019;90;12;10;44.448;68.524;200;;;7
22/12/15 15h00;13.2;1016.8;93;12.1;6;44.448;72.228;200;1;;7
22/12/15 18h00;13.4;1016.3;91;12;10;42.596;68.524;210;0;;7
22/12/15 21h00;10.7;1018.4;93;9.6;20;25.928;42.596;240;3;;7
23/12/15 00h00;11.1;1020.5;84;8.5;20;31.484;51.856;240;0;;7
23/12/15 03h00;10.7;1022;72;5.9;20;25.928;46.3;250;0;;2
23/12/15 06h00;9.7;1023.3;86;7.5;15;12.964;44.448;250;0;;5
23/12/15 09h00;9.9;1024.9;75;5.7;15;16.668;25.928;230;0;;2
23/12/15 12h00;12.7;1024.5;72;7.8;12;29.632;46.3;220;0;;5
23/12/15 15h00;12.2;1022.5;76;8.1;12;27.78;46.3;200;;;7
23/12/15 18h00;11.3;1021.1;85;8.9;10;27.78;48.152;190;0;;8
23/12/15 21h00;11.4;1018.8;79;7.9;15;35.188;51.856;190;0;;5
24/12/15 00h00;11.9;1016;79;8.4;15;38.892;62.968;200;0;;7
24/12/15 03h00;12.1;1014.2;77;8.2;15;38.892;61.116;200;0;;7
24/12/15 06h00;12.5;1011.9;77;8.6;15;42.596;70.376;200;0;;7
24/12/15 09h00;10.4;1013.5;87;8.3;10;33.336;70.376;260;5;;8
24/12/15 12h00;10.5;1016.8;70;5.3;15;22.224;46.3;260;;;6
24/12/15 15h00;9.7;1018.7;62;2.8;45;25.928;44.448;250;0;0;7
24/12/15 18h00;6.6;1021.2;72;1.9;25;9.26;16.668;230;0;;6
24/12/15 21h00;8.2;1022.4;72;3.4;25;7.408;27.78;210;0;;7
25/12/15 00h00;8.1;1022.1;78;4.5;18;9.26;12.964;140;0;0;8
25/12/15 03h00;8.7;1020.7;89;7;18;11.112;14.816;150;;;7
25/12/15 06h00;11.5;1019.4;97;11;3;24.076;38.892;190;4;;7
25/12/15 09h00;13.5;1020.9;92;12.2;6;40.744;59.264;200;2;;8
25/12/15 12h00;14.1;1021.9;86;11.8;11;40.744;59.264;210;0;;8
25/12/15 15h00;13.8;1021.8;88;11.8;11;40.744;68.524;200;0;;8
25/12/15 18h00;14.2;1023.1;87;12.1;13;44.448;64.82;200;0;;8
25/12/15 21h00;14;1023.7;87;11.9;10;37.04;61.116;200;;;7
26/12/15 00h00;14.1;1024.1;83;11.3;15;37.04;57.412;210;0;;8
26/12/15 03h00;13.9;1023.6;82;10.9;15;31.484;55.56;210;0;;8
26/12/15 06h00;13.9;1023;81;10.7;15;29.632;48.152;200;0;;8
26/12/15 09h00;14.1;1023;76;9.9;20;31.484;57.412;200;0;;8
26/12/15 12h00;14.6;1022.2;72;9.6;40;38.892;57.412;200;0;0;7
26/12/15 15h00;14;1021.2;75;9.6;20;37.04;57.412;200;0;;8
26/12/15 18h00;14;1020.6;75;9.6;15;38.892;64.82;200;0;;8
26/12/15 21h00;13.7;1021;81;10.5;13;38.892;57.412;200;0;;8
27/12/15 00h00;13.6;1020.9;84;10.9;11;38.892;61.116;200;0;;8
27/12/15 03h00;13.5;1021;84;10.8;8;38.892;59.264;200;0;;8
27/12/15 06h00;13.6;1021.2;83;10.8;12;31.484;51.856;210;0;;7
27/12/15 09h00;13.8;1023;84;11.1;8;27.78;51.856;200;0;;7
27/12/15 12h00;14.3;1023.5;77;10.3;10;22.224;37.04;180;0;;7
27/12/15 15h00;14.7;1022.3;66;8.4;10;16.668;33.336;170;0;;7
27/12/15 18h00;12.8;1021.2;70;7.5;15;24.076;38.892;160;0;;6
27/12/15 21h00;11.5;1018.6;71;6.4;20;22.224;42.596;140;0;;6
28/12/15 00h00;12.1;1016.6;74;7.6;20;18.52;42.596;150;0;;7
28/12/15 03h00;13.2;1014.2;73;8.5;20;35.188;57.412;170;0;;4
28/12/15 06h00;13;1012.6;77;9.1;16;27.78;48.152;160;0;;6
28/12/15 09h00;12.7;1011.2;80;9.3;13;27.78;48.152;150;0;;7
28/12/15 12h00;14.3;1008.9;71;9.1;15;31.484;51.856;150;0;;7
28/12/15 15h00;14.8;1006.7;70;9.4;12;42.596;62.968;180;0;;7
28/12/15 18h00;12.5;1008.2;86;10.2;2;42.596;72.228;210;3;;8
28/12/15 21h00;11.8;1010.4;71;6.7;20;40.744;72.228;220;1;;7
29/12/15 00h00;10.9;1012.8;75;6.6;20;24.076;44.448;220;0;;7
29/12/15 03h00;8.2;1014.6;88;6.3;12;16.668;51.856;220;3;;7
29/12/15 06h00;8.2;1017;84;5.7;20;18.52;31.484;220;2;;7
29/12/15 09h00;9.4;1019.7;74;5;30;24.076;38.892;220;0;;4
29/12/15 12h00;12.3;1020.8;65;5.9;18;33.336;51.856;200;0;0;
29/12/15 15h00;12.2;1020.2;76;8.1;20;31.484;51.856;190;0;;7
29/12/15 18h00;12.3;1018.9;83;9.5;18;35.188;57.412;200;;;7
29/12/15 21h00;13.2;1017.9;80;9.8;12;48.152;74.08;190;;;8
30/12/15 00h00;13.4;1016.9;74;8.9;12;53.708;85.192;180;0;;8
30/12/15 03h00;14.1;1013.7;67;8.1;18;51.856;87.044;180;0;;8
30/12/15 06h00;14.3;1011.1;70;8.9;18;55.56;85.192;180;0;;8
30/12/15 09h00;14.3;1009.5;71;9.1;16;62.968;100.008;190;;;8
30/12/15 12h00;13.3;1006.9;77;9.4;10;50.004;77.784;180;1;;7
30/12/15 15h00;10.7;1006.4;93;9.6;3;22.224;53.708;230;2;;7
30/12/15 18h00;10.7;1006.3;92;9.5;20;29.632;48.152;210;5;;7
30/12/15 21h00;8.8;1009.2;80;5.5;15;29.632;50.004;230;1;;6
31/12/15 00h00;9.6;1011.6;56;1.2;20;44.448;72.228;240;0;;6
31/12/15 03h00;8.6;1014.6;63;1.9;19;27.78;57.412;240;0;0;
31/12/15 06h00;9.5;1015.9;63;2.8;15;24.076;44.448;230;0;;6
31/12/15 09h00;10.5;1016.6;65;4.2;15;31.484;57.412;210;0;;6
31/12/15 12h00;11.5;1015.9;65;5.1;15;37.04;77.784;210;0;;7
31/12/15 15h00;8;1016.7;85;5.6;20;18.52;62.968;240;4;;7
31/12/15 18h00;6.5;1019.4;86;4.3;15;11.112;14.816;240;0;;2
31/12/15 21h00;3.4;1021.2;86;1.3;20;5.556;11.112;210;0;;0
01/01/16 00h00;2.8;1021.4;92;1.6;13;7.408;12.964;120;0;;3
01/01/16 03h00;5.8;1020.1;88;4;15;12.964;18.52;120;0;;7
01/01/16 06h00;7.5;1016.5;89;5.8;15;18.52;31.484;130;0;;8
01/01/16 09h00;8.9;1013.3;96;8.3;15;18.52;33.336;130;1;;7
01/01/16 12h00;11.1;1009;80;7.8;28;33.336;53.708;160;;0;8
01/01/16 15h00;10.5;1003;81;7.4;12;42.596;72.228;160;;;7
01/01/16 18h00;11.5;998.5;83;8.7;12;42.596;72.228;160;1;;7
01/01/16 21h00;11.4;996.3;80;8.1;12;53.708;83.34;190;2;;6
02/01/16 00h00;10.1;993.3;93;9;2.5;50.004;87.044;200;3;;8
02/01/16 03h00;10.5;994.6;87;8.4;6;51.856;83.34;220;2;;7
02/01/16 06h00;9.3;996.8;89;7.6;3.3;50.004;85.192;250;8;;8
02/01/16 09h00;9.1;1002.1;86;6.9;3;40.744;85.192;270;4;;8
02/01/16 12h00;8.5;1006.1;81;5.4;15;35.188;79.636;270;0;;7
02/01/16 15h00;9.7;1008.9;65;3.4;15;31.484;62.968;270;0;;6
02/01/16 18h00;7.5;1010.7;84;5;15;14.816;50.004;260;0;;7
02/01/16 21h00;8.1;1010.2;69;2.7;15;20.372;31.484;240;0;;6
03/01/16 00h00;9.2;1007.2;87;7.1;7;22.224;37.04;200;0;;8
03/01/16 03h00;9.8;1002.6;91;8.4;7;29.632;44.448;200;2;;8
03/01/16 06h00;11.2;995.5;94;10.3;6;48.152;66.672;200;11;;8
03/01/16 09h00;10.7;991.6;92;9.5;6;31.484;66.672;240;13;;8
03/01/16 12h00;9.6;990.6;86;7.4;30;22.224;40.744;230;1;;7
03/01/16 15h00;9.6;989;76;5.6;15;24.076;48.152;230;0;;4
03/01/16 18h00;9;989.4;73;4.4;8;31.484;50.004;250;0;;7
03/01/16 21h00;7.7;989.8;83;5;15;18.52;57.412;260;2;;6
04/01/16 00h00;8.5;989.6;76;4.5;13;24.076;50.004;250;2;0;8
04/01/16 03h00;7.7;989.6;79;4.3;20;27.78;68.524;250;2;;4
04/01/16 06h00;9.3;988.9;74;4.9;12;0;;0;0;;7
04/01/16 09h00;8.6;989.3;80;5.3;10;0;;0;0;;7
04/01/16 12h00;8.8;988.8;81;5.7;15;29.632;48.152;240;0;;5
04/01/16 15h00;8.1;987.8;80;4.9;7;31.484;62.968;260;1;;6
04/01/16 18h00;8.5;987.8;77;4.7;15;24.076;42.596;250;0;;4
04/01/16 21h00;9;987.3;81;5.9;15;29.632;53.708;240;;;7
05/01/16 00h00;8.5;987.7;87;6.5;12;31.484;55.56;260;2;;7
05/01/16 03h00;7.7;988;85;5.3;14;29.632;57.412;270;6;;7
05/01/16 06h00;8;987.4;90;6.5;15;20.372;48.152;250;2;;7
05/01/16 09h00;8.4;988.3;85;6;12;20.372;33.336;260;3;;7
05/01/16 12h00;9.8;989.2;81;6.7;25;22.224;46.3;270;1;;7
05/01/16 15h00;9.5;989.1;83;6.8;10;20.372;44.448;250;0;;7
05/01/16 18h00;7.6;990.5;88;5.7;10;12.964;38.892;290;5;;7
05/01/16 21h00;8.2;993.4;84;5.7;17;20.372;42.596;320;2;;7
06/01/16 00h00;7.4;995.7;88;5.5;20;7.408;38.892;300;1;;6
06/01/16 03h00;8.6;997.5;80;5.3;5;18.52;42.596;300;1;;7
06/01/16 06h00;8.7;999.5;73;4.1;25;18.52;35.188;300;0;;7
06/01/16 09h00;7;1001.1;85;4.6;40;7.408;14.816;260;;0;
06/01/16 12h00;10.1;1000.8;83;7.3;19;11.112;27.78;250;0;0;8
06/01/16 15h00;9.7;997.4;76;5.7;15;18.52;27.78;180;0;;8
06/01/16 18h00;8.5;993;94;7.6;7;29.632;44.448;150;4;;8
06/01/16 21h00;9.7;987.9;94;8.8;7;33.336;57.412;170;6;0;8
07/01/16 00h00;12.5;986.7;96;11.9;3;33.336;48.152;240;10;;8
07/01/16 03h00;12.3;986.7;94;11.4;8;27.78;57.412;250;4;;8
07/01/16 06h00;9.8;989.7;75;5.6;15;31.484;57.412;270;2;;7
07/01/16 09h00;8.2;995.6;71;3.2;20;20.372;46.3;280;0;;3
07/01/16 12h00;8.6;999.4;67;2.8;10;29.632;57.412;280;;;6
07/01/16 15h00;8.6;1001.6;59;1;20;16.668;38.892;290;0;;4
07/01/16 18h00;5.5;1002.7;81;2.5;25;3.704;25.928;200;0;;7
07/01/16 21h00;5.1;1003.1;82;2.3;15;9.26;16.668;150;0;;7
08/01/16 00h00;5.7;1002.5;86;3.5;19;9.26;20.372;160;0;0;7
08/01/16 03h00;6.4;1001.6;87;4.4;10;5.556;16.668;180;0;;8
08/01/16 06h00;5.4;1000.3;89;3.7;10;9.26;18.52;150;2;;5
08/01/16 09h00;6.6;1000.4;95;5.9;15;12.964;18.52;180;;;4
08/01/16 12h00;11.2;999.9;82;8.2;25;20.372;31.484;200;0;;7
08/01/16 15h00;11;998.8;78;7.3;20;18.52;33.336;220;1;;7
08/01/16 18h00;9.4;998.8;89;7.7;15;12.964;20.372;210;0;;6
08/01/16 21h00;7.3;998.7;89;5.6;30;11.112;16.668;210;0;;1
09/01/16 00h00;9.3;997.7;82;6.4;30;20.372;35.188;210;0;;1
09/01/16 03h00;10.1;996.2;84;7.5;20;25.928;42.596;200;0;;7
09/01/16 06h00;10;993.9;88;8.1;15;22.224;55.56;220;4;;7
09/01/16 09h00;10;992;84;7.4;18;25.928;40.744;190;0;;7
09/01/16 12h00;10.3;988.3;86;8.1;10;44.448;74.08;200;2;;7
09/01/16 15h00;10.6;985.8;78;6.9;15;46.3;75.932;210;0;;7
09/01/16 18h00;6.9;986.7;78;3.3;15;31.484;92.6;240;1;;7
09/01/16 21h00;7;988.5;80;3.8;12;31.484;55.56;260;3;;7
10/01/16 00h00;8.5;989.4;64;2.1;30;37.04;57.412;230;;;6
10/01/16 03h00;6.2;989.1;80;3;5;22.224;46.3;280;2;;7
10/01/16 06h00;5.9;988.5;87;3.9;10;22.224;38.892;250;2;;7
10/01/16 09h00;7.8;989.1;80;4.6;8;22.224;37.04;230;0;0;6
10/01/16 12h00;7.6;990.1;79;4.2;15;9.26;50.004;270;0;;7
10/01/16 15h00;9.7;989.4;67;3.9;20;22.224;38.892;230;0;;6
10/01/16 18h00;9.1;988.4;74;4.7;12;27.78;48.152;220;1;;7
10/01/16 21h00;7.9;985.9;82;5;12;27.78;44.448;190;0;;7
11/01/16 00h00;8;984;81;4.9;10;24.076;64.82;210;1;;7
11/01/16 03h00;8;981.9;79;4.6;10;24.076;59.264;230;1;;7
11/01/16 06h00;5.8;982.6;90;4.3;15;14.816;50.004;230;6;;8
11/01/16 09h00;7;985.9;81;4;15;16.668;31.484;270;0;;7
11/01/16 12h00;7.7;987.2;78;4.1;15;20.372;101.86;250;1;;7
11/01/16 15h00;9.2;990;69;3.8;15;31.484;55.56;280;0;;7
11/01/16 18h00;9.2;993.3;73;4.6;15;37.04;66.672;280;;;7
11/01/16 21h00;8;998;81;4.9;15;31.484;70.376;290;2;;6
12/01/16 00h00;8.3;1001.7;74;3.9;15;22.224;72.228;280;0;;6
12/01/16 03h00;7.9;1003.7;75;3.7;15;24.076;40.744;270;0;;7
12/01/16 06h00;5.8;1004.8;82;3;12;11.112;42.596;270;2;;6
12/01/16 09h00;6.4;1007.5;79;3;15;18.52;35.188;310;0;;6
12/01/16 12h00;8.5;1010.7;60;1.2;15;31.484;51.856;310;0;;5
12/01/16 15h00;8.4;1012.8;57;0.4;19;29.632;51.856;310;0;0;
12/01/16 18h00;6.3;1016;70;1.2;15;24.076;44.448;310;2;;4
12/01/16 21h00;6.7;1018.6;66;0.8;20;16.668;37.04;300;0;;5
13/01/16 00h00;6;1020.2;68;0.5;20;12.964;25.928;290;;;4
13/01/16 03h00;3.5;1021;82;0.7;60;5.556;22.224;240;0;0;7
13/01/16 06h00;3.4;1020.8;87;1.4;20;7.408;12.964;210;0;;7
13/01/16 09h00;3.7;1020.7;91;2.4;45;5.556;11.112;190;0;0;6
13/01/16 12h00;7;1019.4;83;4.3;20;11.112;20.372;190;1;;7
13/01/16 15h00;7.5;1016;73;3;20;16.668;40.744;210;0;;5
13/01/16 18h00;6.4;1015.2;86;4.2;20;16.668;40.744;250;1;;6
13/01/16 21h00;6.1;1013.5;84;3.6;10;12.964;31.484;230;0;;5
14/01/16 00h00;6.2;1012.2;81;3.2;60;14.816;27.78;240;0;0;8
14/01/16 03h00;6.1;1011.4;81;3.1;30;11.112;22.224;290;;;6
14/01/16 06h00;5.3;1011.9;72;0.7;10;11.112;33.336;290;0;;5
14/01/16 09h00;4.7;1013.4;75;0.6;25;9.26;35.188;280;0;;3
14/01/16 12h00;8.4;1014.3;65;2.2;25;18.52;48.152;280;0;;6
14/01/16 15h00;8.6;1015.2;66;2.6;25;18.52;42.596;320;0;;5
14/01/16 18h00;5.4;1018.4;79;2;25;5.556;20.372;290;0;;6
14/01/16 21h00;5.6;1020.9;75;1.5;25;24.076;44.448;320;;;5
15/01/16 00h00;3.4;1022.9;73;-1;25;9.26;18.52;320;0;;3
15/01/16 03h00;5.4;1023.7;65;-0.7;25;25.928;48.152;340;0;;5
15/01/16 06h00;6.1;1024.9;55;-2.3;25;31.484;53.708;340;0;;5
15/01/16 09h00;6.4;1026.7;55;-2;40;25.928;51.856;340;;;6
15/01/16 12h00;7.4;1028.1;56;-0.8;16;29.632;53.708;330;1;;5
15/01/16 15h00;6.3;1028.1;66;0.4;20;20.372;66.672;340;0;;5
15/01/16 18h00;4.7;1030;69;-0.5;10;16.668;48.152;350;0;;6
15/01/16 21h00;5;1031.3;66;-0.8;25;12.964;22.224;340;0;;5
16/01/16 00h00;2.7;1032;72;-1.8;25;3.704;12.964;280;0;;6
16/01/16 03h00;5.5;1031.5;79;2.1;20;3.704;14.816;310;;;7
16/01/16 06h00;5.1;1031.4;84;2.6;20;5.556;9.26;270;;;7
16/01/16 09h00;5.5;1031.9;91;4.1;20;3.704;7.408;230;1;;7
16/01/16 12h00;7.7;1031.6;77;3.9;20;5.556;9.26;180;0;;7
16/01/16 15h00;8.1;1030.6;68;2.5;25;5.556;9.26;100;0;;7
